Year,Title,Название,Genre,Director,Actors,Mark,Comment
2012,Rock of ages,Рок на века,,,,S,"Брайан Крэнстон, а ещё там Том Круз, поэтом не фонтан."
2012,The Hobbit: An Unexpected Journey,Хоббит: неожиданное путешествие,,,,s,нарм
2012,Universal soldier: day of reconing,Универсальный солдат 4,,,,S,"Скука, но снято неплохо."
2012,Chinese Zodiac,Доспехи бога 3: Миссия зодиак,,,,s,"Старина Джеки, классные трюки."
2012,Lawless,Самый пьяный округ в мире,,,,s,неплохо
2012,Cloud Atlas,Облачный атлас,,,,s,хорошо
2012,The perks of being a wallflower,Хорошо быть тихоней,,,,s,Эмма Уотсон. Девочке понравится.
2012,Мужчина на расхват,Мужчина на расхват,,,,,
2012,Here comes the boom,Толстяк на ринге,,,,s,неплохо
2012,The first time,В первый раз,,,,S,"Задумка неплохая, персонажи. Реализация — сопли ёбаные"
2012,Las aventuras de Tadeo Jones,Тэд Джонс и тайна затерянного города,,,,,
2012,The Odd Life of Timothy Green,Странная жизнь Тимоти Грина,,,,,
2012,Laurence Anyways,В любом случае Лоранс,,,,S,"Строго на любителя, но мне понравился это арт-хаус"
2012,Inside Llewyn Davis,Внутри Льюэна Дэвиса,,,,5,Фильм собрал кучу наград. Мне показался очень средненьким.
2012,The Hunger Games,Голодные игры,,,,3,Шляпа с полями.
2013,The Lone Ranger,Одинокий рэйнджер,,,,s,Скука.
2013,Django Unchained,Джанго Освобождёнынй,,,,8,Круто
2013,A Good Day to Die Hard,Крепкий орешек: хороший день чтобы умереть,,,,s,хуита
2013,Iron Man 3,Железный человек 3,,,,s,"гуд, экшон."
2013,The Fast and the Furious 6,Форсаж 6,,,,s,понравилось.
2013,The Great Gatsby,Великий Гэтсби,,,,7,лео дикаприо. Очень хорошо.
2013,Hansel and Gretel: Witch Hunters,Охотники на ведьм,,,,s,мяско
2013,Vehicle 19,Тачка 19,,,,S,шляпа
2013,42,42,,,,S,"Бейсбол, рассизм."
2013,The Drift,Дрифт,,,,S,про австралийских сёрферов.
2013,G.I. Joe 2,Бросок кобры 2,,,,s,Хуита нелаепая.
2013,Oblivion,Обливион,,,,s,неплохо
2013,World war Z,Война миров Z,,,,S,Брэд Питт
2013,Hummingbird,Эффект коллибри,,,,S,Стэтэм
2013,Drinking buddies,Собутыльники,,,,S,Оливия Уаилд
2013,I Spit on Your Grave,Я плюю на ваши могилы,,,,,
2013,Grown Ups 2,Одноклассники 2,,,,,
2013,Kick-ass 2,Пипец 2,,,,S,Не особо.
2013,Mama,Мама,,,,,
2013,The Conjuring,Заклятье,,,,,
2013,Maniac,Маньяк,,,,,
2013,Pain & Gain,Кровью и потом: Анаболики,,,,,
2013,Что творят мужчины!,Что творят мужчины!,,,,,
2013,Identity thief,"Поймай толстуху, если сможешь",,,,,
2013,R.I.P.D.,Призрачный патруль,,,,S,"Хорошая комедия, запоминающиеся персонажи, диалоги, спецэфекты на уровне."
2013,Now You See Me,Иллюзия обмана,,,,s,
2013,Gravity,Гравитация,,,,7,
2013,,Агент под прикрытием,,,,,
2013,,Эпик,,,,,
2013,,Университет монстров,,,,,
2013,Justice league The Flashpoint paradox,Лига справедливости: Парадокс источника конфликта,,,,s,Достойный мульт.
2013,,После нашей Эры,,,,,
2013,Internship,Кадры,,,,s,Слабо. Типа вдохновляющая шляпа от чуваков выглядит неубедительно.
2013,,Прекрасные создания,,,,,
2013,,Мерзлая земля,,,,,
2013,The Heat,Копы в юбках,,,,,Не особо.
2013,Star Trek Into Darkness,Стартрек. Возмездие,,,,,Good
2013,Man of steel,Человек из стали,,,,S,не фонтан
2013,Elysium,Элизиум. Рай на земле.,,,,s,Фигня
2013,Pacific Rim,Тихоокеанский рубеж,,,,s,
2013,The Last Stand,Возвращение героя,,,,,
2013,The Croods,Семейка Крудс,,,,,
2013,Red 2,Ред 2,,,,S,Шляпа для пенсионеров. Только Энтони Хопкинс неплох.
2013,Riddik 2013,Риддик,,,,S,Не оче
2013,Kokowaah 2,Соблазнитель 2,,,,S,Тиль Швайгер. Хуита.
2013,Millers,Миллеры.,,,,S,Хорошо.
2013,The Wolverine,Росомаха: Бессмертный,,,,S,Хрень.
2013,The Philosophers,Философы: Урок выживания,,,,S,Приятный фильм. Урок философии.
2013,The Family,Малавита,,,,S,Довольно угарное кинцо. Роберт де Ниро.
2013,Capitan Fillips,Капитан Филлипс,,,,S,"Фильм про сомалийских пиратов и америку, Том Хэнкс."
