Year,Title,Название,Genre,Director,Actors,Mark,Comment
2017,Ghost in the Shell,Призрак в доспехах,"Action, Crime, Drama",,Scarlett Johansson,4,"посредственно, лучше оригинал посмотреть."
2017,Время первых,Время первых,,Dmitriy Kiselev,,4,относительно неплохой получился фильм.
2017,Star Wars: Episode VIII - The Last Jedi,Звёздные войны: Последние джедаи,"Action, Adventure, Fantasy",,,4,"из плюсов – есть доля самоиронии, в остальном скучно"
2017,Hagane no renkinjutsushi,Стальной алхимик,,,,4,"фильм пересказывает сюжет первой арки, мне не понравилась актерская игра, слабовато."
2017,War for the Planet of the Apes,Планета обезьян: Война,"Action , Adventure , Drama",,,4,"много дешёвой драмы, строго для любителей макак."
2016,Central Intelligence,Полтора шпиона,"Action, Comedy, Crime",,,3,"Примитивная комедия, отвращение не вызывает, что уже является успехом."
2016,Swiss Army Man,Человек - швейцарский нож,"Adventure, Comedy, Drama",,,3,"Хрень, абсолютно ничего особенного. Есть мнение что это либо нравится, либо вызывает отвращение, по мне так серенькое кинцо, каких масса."
2016,Snowden,Сноуден,,,,3,весьма посредственно.
2017,Logan,Логан: Росомаха,"Action, Drama, Sci-Fi",,"Action, Drama, Sci-Fi",3,весьма посредственно.
2017,The mummy,Мумия,"Action, Adventure, Fantasy",,,3,хуита
2017,Pirates of the Caribbean: Dead Men Tell No Tales,Пираты Карибского моря: Мертвецы не рассказывают сказки,"Action, Adventure, Fantasy",,,3,"вторая половина фильма чуть получше, но в целом – хуита беспонтовая."
2017,Leatherface,Техасская резня бензопилой: Кожаное лицо,"Horror, Thriller",,,3,молодёжный ужастик.
2017,The fate of the furios,,,,,3,очередной форсажик
2016,Grimsby,Братья из Гримсби,"Action, Comedy",,,2,"ну вроде как стремящаяся смешнявка, но мне не вкатило."
2016,I.T.,Искусственный интеллект.,thriller,,,2,"херота, скукота"
2017,XXX: Return of XanderCage,Три икса: Мировое господство,,,,2,"есть пара красивых кадров, в остальном актёры, диалоги, постановка – лажа."
2017,Aritmiya,Аритмия,,Boris Khlebnikov,,2,"хуйня какая-то бытовая, может кому больше зайдёт."
2017,Zashchitniki,Защитники,russian shit,Sarik Andreasyan,,1,"бездарная, нелепая хуйня."
2017,Transformers: The Last Knight,Трансформеры: Последний рыцарь,,,,1,ебучая хуйня.
2018,Tomb Rider,Tomb Raider: Лара Крофт,,,,3,"низкий бюджет, актеры слабоваты."
2018,Ready Player One,Первому игроку приготовиться,"Action, Adventure, Sci-Fi",,,6,"ну я же геймер, омажиками подкупили."
2018,Black Panther,Чёрная Пантера,,,,5,неплохо
2018,Avengers Infinity War,Мстители: Война бесконечности,,,,5,комиксовая штука
2018,Deadpool 2,Дэдпул 2,"Action, Adventure, Comedy",,,6,"есть хорошие гэги, есть перчик местами, но это больше для фэнов комикса я полагаю."
2018,Loving Pablo,Эскобар,"Biography, Crime, Drama",,,6,сериал получше будет.
2018,Solo: A Star Wars Story,Хан Соло: Звездные войны. Истории,"Action, Adventure, Fantasy",Ron Howard,,5,"не фэн starwars, но этот спинофф неплох."
2018,Ant-Man and the Wasp,Человек-муравей и Оса,,,,3,херня по комиксам
2018,Sicario: Day of the Soldado,Убийца 2. Против всех,,,Benicio Del Toro,6,первая часть понравилась намного больше.
2018,Upgrade,Апгрейд,"Action, Sci-Fi, Thriller",,,7,"сай-фай-киберпанк тематика подкупает, видно что бюджет низкий, но сделано хорошо, очень хорошо."
2018,Venom,Веном,,,,2,хуйня
2018,Creed II,Крид 2,"Drama, Sport",Steven Caple Jr.,"Michael B. Jordan, Sylvester Stallone",6,старый добрый Rocky на новый лад.
2018,Bumblebee,Бамблби,"Action, Adventure, Sci-Fi",Travis Knight,,5,"вот тут приятный дизайн роботов, хорошая музыка, фильм подростковый, но это его не портит."
